Rank,Name,Pay,Salary/Winnings,Endorsements,Sport,Year
#1,Lionel Messi,$127 M,$92 M,$35 M,Soccer,2019
#2,Cristiano Ronaldo,$109 M,$65 M,$44 M,Soccer,2019
#3,Neymar,$105 M,$75 M,$30 M,Soccer,2019
#4,Canelo Alvarez,$94 M,$92 M,$2 M,Boxing,2019
#5,Roger Federer,$93.4 M,$7.4 M,$86 M,Tennis,2019
#6,Russell Wilson,$89.5 M,$80.5 M,$9 M,Football,2019
#7,Aaron Rodgers,$89.3 M,$80.3 M,$9 M,Football,2019
#8,LeBron James,$89 M,$36 M,$53 M,Basketball,2019
#9,Stephen Curry,$79.8 M,$37.8 M,$42 M,Basketball,2019
#10,Kevin Durant,$65.4 M,$30.4 M,$35 M,Basketball,2019
#11,Tiger Woods,$63.9 M,$9.9 M,$54 M,Golf,2019
#12,Ben Roethlisberger,$55.5 M,$54.5 M,$1 M,Football,2019
#13,Lewis Hamilton,$55 M,$45 M,$10 M,Auto Racing,2019
#13,Anthony Joshua,$55 M,$45 M,$10 M,Boxing,2019
#13,Khalil Mack,$55 M,$54 M,$1 M,Football,2019
#16,Russell Westbrook,$53.7 M,$35.7 M,$18 M,Basketball,2019
#17,Novak Djokovic,$50.6 M,$20.6 M,$30 M,Tennis,2019
#17,Mike Trout,$50.6 M,$47.6 M,$3 M,Baseball,2019
#19,Phil Mickelson,$48.4 M,$12.4 M,$36 M,Golf,2019
#20,James Harden,$47.7 M,$30.7 M,$17 M,Basketball,2019
#21,Conor McGregor,$47 M,$32 M,$15 M,Mixed Martial Arts,2019
#22,DeMarcus Lawrence,$46.9 M,$46.8 M,$150 K,Football,2019
#23,Bryce Harper,$44.5 M,$38 M,$6.5 M,Baseball,2019
#24,Chris Paul,$43.8 M,$35.8 M,$8 M,Basketball,2019
#25,Kyrie Irving,$43.3 M,$20.3 M,$23 M,Basketball,2019
#26,Giannis Antetokounmpo,$43.2 M,$24.2 M,$19 M,Basketball,2019
#27,Drew Brees,$42.4 M,$26.4 M,$16 M,Football,2019
#28,Aaron Donald,$41.4 M,$40.9 M,$500 K,Football,2019
#29,Damian Lillard,$41.1 M,$28.1 M,$13 M,Basketball,2019
#30,Sebastian Vettel,$40.3 M,$40 M,$300 K,Auto Racing,2019
#31,Blake Griffin,$39.1 M,$32.1 M,$7 M,Basketball,2019
#32,Rory McIlroy,$39 M,$8 M,$31 M,Golf,2019
#33,Paul George,$38.6 M,$30.6 M,$8 M,Basketball,2019
